Serial,Year,Week,Game,Pick,Opponent,h?,Spread,Elo,Weighted DVOA,Difference,Weights,Correct?,Points
2017-1-8,2017,1,8,Philadelphia,Washington,,-1,,,-1,4,yes,4
2017-1-9,2017,1,9,Houston,Jacksonville,,-6,,,-6,2,no,0
2017-1-10,2017,1,10,L.A. Rams,Indianapolis,,-3.5,,,-3.5,8,yes,8
2017-1-11,2017,1,11,Green Bay,Seattle,,-2.5,,,-2.5,1,yes,1
2017-1-12,2017,1,12,Carolina,San Francisco,,-4,,,-4,13,yes,13
2017-1-13,2017,1,13,Dallas,N.Y. Giants,,-4,,,-4,7,yes,7
2017-1-14,2017,1,14,Minnesota,New Orleans,,-3,,,-3,6,yes,6
2017-1-15,2017,1,15,Denver,L.A. Chargers,,-3,,,-3,12,yes,12
2017-2-1,2017,2,1,Cincinnati,Houston,,-6.5,-3.5,,-3,4,no,0
2017-2-2,2017,2,2,Arizona,Indianapolis,,-7.5,1,,-8.5,10,yes,10
2017-2-3,2017,2,3,Kansas City,Philadelphia,,-5.5,-7,,1.5,8,yes,8
2017-2-4,2017,2,4,New England,New Orleans,,-7,-4,,-3,11,yes,11
2017-2-5,2017,2,5,Minnesota,Pittsburgh,,5.5,6,,-0.5,1,no,0
2017-2-6,2017,2,6,Tampa Bay,Chicago,,-7,-8,,1,14,yes,14
2017-2-7,2017,2,7,Carolina,Buffalo,,-7.5,-4.5,,-3,12,yes,12
2017-2-8,2017,2,8,Jacksonville,Tennessee,,2,-2.5,,4.5,3,no,0
2017-2-9,2017,2,9,Baltimore,Cleveland,,-8,-10.5,,2.5,13,yes,13
2017-2-10,2017,2,10,Oakland,N.Y. Jets,,-14,-7.5,,-6.5,15,yes,15
2017-2-11,2017,2,11,L.A. Chargers,Miami,,-4.5,0.5,,-5,9,no,0
2017-2-12,2017,2,12,Dallas,Denver,,-1.5,1.5,,-3,6,no,0
2017-2-13,2017,2,13,L.A. Rams,Washington,,-3,-1.5,,-1.5,7,no,0
2017-2-14,2017,2,14,Seattle,San Francisco,,-14,-11.5,,-2.5,16,yes,16
2017-2-15,2017,2,15,Atlanta,Green Bay,,-3,-3.5,,0.5,2,yes,2
2017-2-16,2017,2,16,Detroit,N.Y. Giants,,3,2,,1,5,yes,5
2017-3-1,2017,3,1,San Francisco,L.A. Rams,,-3,-1,,-2,3,no,0
2017-3-2,2017,3,2,Baltimore,Jacksonville,,-3.5,-6,,2.5,12,no,0
2017-3-3,2017,3,3,Denver,Buffalo,,-3,-1.5,,-1.5,10,no,0
2017-3-4,2017,3,4,Pittsburgh,Chicago,,-7.5,-8,,0.5,14,no,0
2017-3-5,2017,3,5,Atlanta,Detroit,,-3,-1,,-2,1,yes,1
2017-3-6,2017,3,6,Indianapolis,Cleveland,,1.5,-8,,9.5,2,yes,2
2017-3-7,2017,3,7,Tampa Bay,Minnesota,,1,2,,-1,8,no,0
2017-3-8,2017,3,8,New England,Houston,,-13.5,-10.5,,-3,16,yes,16
2017-3-9,2017,3,9,Miami,N.Y. Jets,,-6,-1.5,,-4.5,9,no,0
2017-3-10,2017,3,10,Philadelphia,N.Y. Giants,,-6,-4.5,,-1.5,11,yes,11
2017-3-11,2017,3,11,Carolina,New Orleans,,-5.5,-6.5,,1,5,no,0
