Year,Week,Won Toss,Won OT Toss,Roof,Surface,Duration,Attendance,Weather,Vegas Line,Over/Under,Link,Favorite,Vegas Line,Over/Under (Points)
2015,5,Rams,,outdoors,grass ,3:14,"78,432","67 degrees, relative humidity 61%, wind 14 mph, wind chill 0",Green Bay Packers -9.0,45.5 (under),https://www.pro-football-reference.com/boxscores/201510110gnb.htm,Green Bay Packers,-9,45.5
2015,5,Seahawks (deferred),Seahawks,outdoors,fieldturf ,3:19,"65,004","66 degrees, relative humidity 59%, wind 3 mph, wind chill 0",Cincinnati Bengals -3.0,43.5 (over),https://www.pro-football-reference.com/boxscores/201510110cin.htm,Cincinnati Bengals,-3,43.5
2015,5,Bills (deferred),,outdoors,grass ,2:59,"65,670","67 degrees, relative humidity 58%, wind 5 mph",Buffalo Bills -1.0,42.0 (under),https://www.pro-football-reference.com/boxscores/201510110oti.htm,Buffalo Bills,-1,42
2015,5,Saints (deferred),,outdoors,grass ,3:08,"69,296","67 degrees, relative humidity 54%, wind 6 mph, wind chill 0",Philadelphia Eagles -6.0,49.5 (over),https://www.pro-football-reference.com/boxscores/201510110phi.htm,Philadelphia Eagles,-6,49.5
2015,5,Lions,,dome,fieldturf ,3:15,"60,816",,Arizona Cardinals -3.0,45.5 (over),https://www.pro-football-reference.com/boxscores/201510110det.htm,Arizona Cardinals,-3,45.5
2015,5,Broncos (deferred),,outdoors,grass ,3:02,"54,500","72 degrees, relative humidity 59%, wind 10 mph, wind chill 0",Denver Broncos -4.0,44.0 (under),https://www.pro-football-reference.com/boxscores/201510110rai.htm,Denver Broncos,-4,44
2015,5,Cowboys,,retractable roof (closed),matrixturf,3:03,"93,054",,New England Patriots -9.0,49.5 (under),https://www.pro-football-reference.com/boxscores/201510110dal.htm,New England Patriots,-9,49.5
2015,5,49ers,,outdoors,fieldturf ,3:05,"78,515","61 degrees, relative humidity 59%, wind 4 mph, wind chill 0",New York Giants -6.5,43.0 (over),https://www.pro-football-reference.com/boxscores/201510110nyg.htm,New York Giants,-6.5,43
2015,5,Steelers,,outdoors,grass ,3:08,"67,658","93 degrees, relative humidity 32%, wind 10 mph, wind chill 0",San Diego Chargers -3.5,46.0 (under),https://www.pro-football-reference.com/boxscores/201510120sdg.htm,San Diego Chargers,-3.5,46
2015,6,Saints,,dome,sportturf,3:07,"73,018",,Atlanta Falcons -3.0,51.0 (over),https://www.pro-football-reference.com/boxscores/201510150nor.htm,Atlanta Falcons,-3,51
2015,6,Browns (deferred),Broncos,outdoors,grass ,3:44,"67,431","47 degrees, relative humidity 52%, wind 20 mph",Denver Broncos -3.5,42.0 (over),https://www.pro-football-reference.com/boxscores/201510180cle.htm,Denver Broncos,-3.5,42
2015,6,Bengals (deferred),,outdoors,a_turf,3:09,"69,593","40 degrees, relative humidity 73%, wind 4 mph",Cincinnati Bengals -3.0,43.0 (over),https://www.pro-football-reference.com/boxscores/201510180buf.htm,Cincinnati Bengals,-3,43
2015,6,Jets (deferred),,outdoors,fieldturf ,3:03,"78,160","49 degrees, relative humidity 30%, wind 16 mph",New York Jets -7.0,40.5 (over),https://www.pro-football-reference.com/boxscores/201510180nyj.htm,New York Jets,-7,40.5
2015,6,Chiefs (deferred),,outdoors,fieldturf,3:02,"52,480","54 degrees, relative humidity 0%, wind 10 mph, wind chill 0",Minnesota Vikings -3.5,43.0 (under),https://www.pro-football-reference.com/boxscores/201510180min.htm,Minnesota Vikings,-3.5,43
2015,6,Jaguars (deferred),,outdoors,grass ,3:28,"58,085","73 degrees, relative humidity 55%, wind 18 mph, wind chill 0",Jacksonville Jaguars -2.5,43.0 (over),https://www.pro-football-reference.com/boxscores/201510180jax.htm,Jacksonville Jaguars,-2.5,43
2015,6,Bears (deferred),Lions,dome,fieldturf ,3:55,"57,648",,Detroit Lions -3.0,44.0 (over),https://www.pro-football-reference.com/boxscores/201510180det.htm,Detroit Lions,-3,44
2015,6,Titans (deferred),,outdoors,grass ,3:06,"62,342","56 degrees, relative humidity 39%, wind 8 mph",Tennessee Titans -2.0,43.5 (over),https://www.pro-football-reference.com/boxscores/201510180oti.htm,Tennessee Titans,-2,43.5
2015,6,Cardinals,,outdoors,grass ,3:09,"63,846","45 degrees, relative humidity 47%, wind 12 mph",Arizona Cardinals -3.5,45.0 (under),https://www.pro-football-reference.com/boxscores/201510180pit.htm,Arizona Cardinals,-3.5,45
2015,6,Panthers (deferred),,outdoors,fieldturf ,3:12,"69,020","61 degrees, relative humidity 85%, wind 5 mph, wind chill 0",Seattle Seahawks -7.0,40.5 (over),https://www.pro-football-reference.com/boxscores/201510180sea.htm,Seattle Seahawks,-7,40.5
2015,6,49ers,,outdoors,grass,3:01,"70,799","69 degrees, relative humidity 60%, wind 7 mph, wind chill 0",Baltimore Ravens -2.0,43.5 (over),https://www.pro-football-reference.com/boxscores/201510180sfo.htm,Baltimore Ravens,-2,43.5
2015,6,Packers (deferred),,outdoors,grass ,3:29,"78,434","54 degrees, relative humidity 35%, wind 12 mph, wind chill 0",Green Bay Packers -10.5,51.0 (under),https://www.pro-football-reference.com/boxscores/201510180gnb.htm,Green Bay Packers,-10.5,51
2015,6,Patriots (deferred),,retractable roof (closed),fieldturf ,3:26,"66,726",,New England Patriots -9.5,54.5 (over),https://www.pro-football-reference.com/boxscores/201510180clt.htm,New England Patriots,-9.5,54.5
2015,6,Eagles (deferred),,outdoors,grass ,3:05,"69,296","44 degrees, relative humidity 49%, wind 6 mph",Philadelphia Eagles -5.0,49.5 (under),https://www.pro-football-reference.com/boxscores/201510190phi.htm,Philadelphia Eagles,-5,49.5
2015,7,Seahawks (deferred),,outdoors,grass,2:53,"70,799","75 degrees, relative humidity 40%, wind 8 mph, wind chill 0",Seattle Seahawks -6.5,42.0 (under),https://www.pro-football-reference.com/boxscores/201510220sfo.htm,Seattle Seahawks,-6.5,42
2015,7,Jaguars (deferred),,outdoors,grass ,3:15,"84,021","48 degrees, relative humidity 74%, wind 2 mph, wind chill 0",Buffalo Bills -4.0,41.0 (over),https://www.pro-football-reference.com/boxscores/201510250jax.htm,Buffalo Bills,-4,41
2015,7,Rams,,dome,astroplay,2:58,"51,523",,St. Louis Rams -6.5,41.5 (under),https://www.pro-football-reference.com/boxscores/201510250ram.htm,St. Louis Rams,-6.5,41.5
2015,7,Falcons (deferred),,outdoors,grass ,2:57,"63,329","59 degrees, relative humidity 95%, wind 8 mph",Atlanta Falcons -6.0,47.0 (under),https://www.pro-football-reference.com/boxscores/201510250oti.htm,Atlanta Falcons,-6,47
2015,7,Patriots (deferred),,outdoors,fieldturf ,3:16,"66,829","58 degrees, relative humidity 80%, wind 9 mph, wind chill 0",New England Patriots -7.5,47.5 (over),https://www.pro-football-reference.com/boxscores/201510250nwe.htm,New England Patriots,-7.5,47.5
2015,7,Dolphins (deferred),,outdoors,grass ,3:19,"65,251","84 degrees, relative humidity 62%, wind 13 mph, wind chill 0",Miami Dolphins -4.5,44.5 (over),https://www.pro-football-reference.com/boxscores/201510250mia.htm,Miami Dolphins,-4.5,44.5
2015,7,Vikings (deferred),,dome,fieldturf ,3:02,"60,231",,Minnesota Vikings -2.0,44.5 (over),https://www.pro-football-reference.com/boxscores/201510250det.htm,Minnesota Vikings,-2,44.5
2015,7,Saints,,retractable roof (open),fieldturf ,3:35,"66,420",,Indianapolis Colts -4.0,52.0 (under),https://www.pro-football-reference.com/boxscores/201510250clt.htm,Indianapolis Colts,-4,52
2015,7,Steelers,,outdoors,grass ,2:54,"76,365","58 degrees, relative humidity 57%, wind 7 mph, wind chill 0",Kansas City Chiefs -3.0,43.0 (under),https://www.pro-football-reference.com/boxscores/201510250kan.htm,Kansas City Chiefs,-3,43
2015,7,Buccaneers (deferred),,outdoors,grass ,3:14,"72,912","64 degrees, relative humidity 87%, wind 5 mph, wind chill 0",Washington Redskins -3.0,42.5 (over),https://www.pro-football-reference.com/boxscores/201510250was.htm,Washington Redskins,-3,42.5
2015,7,Raiders (deferred),,outdoors,grass ,3:26,"67,542","77 degrees, relative humidity 48%, wind 4 mph, wind chill 0",San Diego Chargers -3.5,47.0 (over),https://www.pro-football-reference.com/boxscores/201510250sdg.htm,San Diego Chargers,-3.5,47
2015,7,Cowboys (deferred),,outdoors,fieldturf ,2:55,"80,319","71 degrees, relative humidity 40%, wind 14 mph, wind chill 0",New York Giants -3.0,45.0 (over),https://www.pro-football-reference.com/boxscores/201510250nyg.htm,New York Giants,-3,45
2015,7,Panthers (deferred),,outdoors,grass ,3:18,"74,194","71 degrees, relative humidity 80%, no wind, wind chill 0",Carolina Panthers -3.0,45.0 (under),https://www.pro-football-reference.com/boxscores/201510250car.htm,Carolina Panthers,-3,45
2015,7,Cardinals,,retractable roof (closed),grass ,3:02,"64,722",,Arizona Cardinals -8.0,49.0 (under),https://www.pro-football-reference.com/boxscores/201510260crd.htm,Arizona Cardinals,-8,49
2015,8,Dolphins (deferred),,outdoors,fieldturf ,3:02,"66,829","58 degrees, relative humidity 39%, wind 10 mph, wind chill 0",New England Patriots -7.5,50.5 (under),https://www.pro-football-reference.com/boxscores/201510290nwe.htm,New England Patriots,-7.5,50.5
2015,8,Chiefs (deferred),,outdoors,grass ,2:59,"83,624","50 degrees, relative humidity 91%, wind 2 mph, wind chill 0",Kansas City Chiefs -3.5,45.0 (over),https://www.pro-football-reference.com/boxscores/201511010kan.htm,Kansas City Chiefs,-3.5,45
2015,8,Bears (deferred),,outdoors,grass ,2:58,"62,311","62 degrees, relative humidity 42%, wind 11 mph, wind chill 0",Minnesota Vikings -1.0,43.0 (push),https://www.pro-football-reference.com/boxscores/201511010chi.htm,Minnesota Vikings,-1,43
2015,8,Rams (deferred),,dome,astroplay,3:24,"51,207",,St. Louis Rams -7.5,39.5 (under),https://www.pro-football-reference.com/boxscores/201511010ram.htm,St. Louis Rams,-7.5,39.5
2015,8,Buccaneers (deferred),Buccaneers,dome,fieldturf ,3:34,"70,524",,Atlanta Falcons -7.0,48.5 (under),https://www.pro-football-reference.com/boxscores/201511010atl.htm,Atlanta Falcons,-7,48.5
2015,8,Ravens (deferred),,outdoors,sportturf,3:11,"70,829","63 degrees, relative humidity 72%, wind 10 mph, wind chill 0",Baltimore Ravens -3.5,51.0 (over),https://www.pro-football-reference.com/boxscores/201511010rav.htm,Baltimore Ravens,-3.5,51
2015,8,Bengals (deferred),,outdoors,grass ,3:22,"64,750","62 degrees, relative humidity 71%, wind 11 mph",Pittsburgh Steelers -1.0,48.5 (under),https://www.pro-football-reference.com/boxscores/201511010pit.htm,Pittsburgh Steelers,-1,48.5
2015,8,Giants (deferred),,dome,sportturf,3:33,"73,019",,New Orleans Saints -3.0,49.5 (over),https://www.pro-football-reference.com/boxscores/201511010nor.htm,New Orleans Saints,-3,49.5
